,year,value,count
997,2018,210,8420
998,2018,215,8181
999,2018,220,7683
1000,2018,225,7329
1001,2018,230,6774
1002,2018,235,6432
1003,2018,240,6128
1004,2018,245,5811
1005,2018,250,5519
1006,2018,255,5163
1007,2018,260,4925
1008,2018,265,4761
1009,2018,270,4376
1010,2018,275,4157
1011,2018,280,4162
1012,2018,285,4008
1013,2018,290,3791
1014,2018,295,3610
1015,2018,300,3301
1016,2018,305,3325
1017,2018,310,3221
1018,2018,315,3081
1019,2018,320,3015
1020,2018,325,2900
1021,2018,330,2816
1022,2018,335,2690
1023,2018,340,2497
1024,2018,345,2445
1025,2018,350,2311
1026,2018,355,2370
1027,2018,360,2295
1028,2018,365,2270
1029,2018,370,2186
1030,2018,375,2138
1031,2018,380,2023
1032,2018,385,2030
1033,2018,390,1840
1034,2018,395,1855
1035,2019,40,2
1036,2019,45,20
1037,2019,50,102
1038,2019,55,414
1039,2019,60,1138
1040,2019,65,2459
1041,2019,70,4380
1042,2019,75,7175
1043,2019,80,10094
1044,2019,85,13701
1045,2019,90,17011
1046,2019,95,19925
1047,2019,100,21836
1048,2019,105,23675
1049,2019,110,24345
1050,2019,115,25093
1051,2019,120,25067
1052,2019,125,24825
1053,2019,130,23647
1054,2019,135,23041
1055,2019,140,21611
1056,2019,145,21028
1057,2019,150,19276
1058,2019,155,18169
1059,2019,160,17133
1060,2019,165,15913
1061,2019,170,14937
1062,2019,175,13862
1063,2019,180,12779
1064,2019,185,11975
1065,2019,190,11299
1066,2019,195,10359
1067,2019,200,9485
1068,2019,205,8908
1069,2019,210,8714
1070,2019,215,8066
1071,2019,220,7639
1072,2019,225,7145
1073,2019,230,6642
1074,2019,235,6442
1075,2019,240,6046
1076,2019,245,5743
1077,2019,250,5536
1078,2019,255,5178
1079,2019,260,4944
1080,2019,265,4694
1081,2019,270,4551
1082,2019,275,4210
1083,2019,280,4026
1084,2019,285,3988
1085,2019,290,3672
1086,2019,295,3638
1087,2019,300,3388
1088,2019,305,3302
1089,2019,310,3101
1090,2019,315,3044
1091,2019,320,2911
1092,2019,325,2886
1093,2019,330,2752
1094,2019,335,2576
1095,2019,340,2508
1096,2019,345,2456
1097,2019,350,2383
1098,2019,355,2353
1099,2019,360,2306
1100,2019,365,2110
1101,2019,370,2170
1102,2019,375,2009
1103,2019,380,1986
1104,2019,385,2011
1105,2019,390,1846
1106,2019,395,1918
