competitionId,best,average,personName,personCountryId,regionalSingleRecord,regionalAverageRecord
WLSLato2016,588,645,Feliks Zemdegs,Australia,,WR
Euro2016,513,768,Mats Valk,Netherlands,ER,
Euro2016,586,786,Ivan Vynnyk (Іван Винник),Ukraine,NR,NR
KoreanChampionship2016,494,913,Hyo-Min Seo (서효민),Korea,AsR,
AustralianNationals2016,532,676,Feliks Zemdegs,Australia,OcR,
LimaRubik2016,639,1067,Juan Pablo Huanqui,Peru,SAR,
LimaRubik2016,632,1049,Angelo Giovanni Licetti León,Peru,SAR,
YoRubik2016,721,799,Rodrigo Paz Vaca,Bolivia,,SAR
MasonCubingChallenge2016,529,705,Lucas Etter,USA,,NAR
GermanNationals2016,621,681,Sebastian Weyer,Germany,,ER
JawaTimurOpen2016,474,689,Mats Valk,Netherlands,WR,
POPSOpen2016,473,697,Feliks Zemdegs,Australia,WR,
AlgeriaWinter2016,1034,1058,Yassine Bettahar,Algeria,,AfR
AlgeriaWinter2016,915,1233,Yassine Bettahar,Algeria,AfR,
BluegrassSpring2017,476,726,Drew Brads,USA,NAR,
CaltechWinter2017,625,692,Max Park,USA,,NAR
ActivaClubRubik2017,652,797,Juan Pablo Huanqui,Peru,,SAR
SlowNSteadySpring2017,557,689,Lucas Etter,USA,,NAR
KAISTSpring2017,631,686,Seung Hyuk Nahm (남승혁),Korea,,AsR
OCSEFOpen2017,560,639,Max Park,USA,,WR
PlayCube2017,540,647,Seung Hyuk Nahm (남승혁),Korea,,AsR
LatinAmericaCubingTourCochab2017,601,645,Feliks Zemdegs,Australia,,OcR
LatinAmericaCubingTourArequi2017,585,645,Feliks Zemdegs,Australia,,OcR
LatinAmericaCubingTourChia2017,555,597,Feliks Zemdegs,Australia,,WR
ChachyaOpen2017,904,1227,Hassen Kallala,Tunisia,AfR,
ChinaChampionship2017,490,643,Seung Hyuk Nahm (남승혁),Korea,AsR,AsR
CampeonatoNacionalPerubik2017,611,961,Angelo Giovanni Licetti León,Peru,SAR,
CampeonatoNacionalPerubik2017,734,793,Ernesto Gutiérrez Cuba,Peru,,SAR
AlgeriaSummerOpen2017,854,926,Yassine Bettahar,Algeria,AfR,AfR
RallyInTheValley2017,469,741,Patrick Ponce,USA,WR,
FresnoFall2017,600,624,Max Park,USA,,NAR
Johannesburg2017,809,1185,Shivaan Harichander,South Africa,AfR,
MalaysiaCubeOpen2017,525,580,Feliks Zemdegs,Australia,,WR
Chicago2017,459,754,SeungBeom Cho (조승범),Korea,WR,
TF3ISanDiego2017,572,624,Max Park,USA,,NAR
RenoFall2017,564,618,Max Park,USA,,NAR
BerlinKubusProjekt2017,631,677,Philipp Weyer,Germany,,ER
HobartSummer2018,459,628,Feliks Zemdegs,Australia,WR,
ManchesterOpen2018,522,669,Sebastian Weyer,Germany,,ER
DneprNeverFails2018,577,809,Mykyta Tytar (Микита Титарь),Ukraine,NR,
LasVegasSpring2018,554,599,Max Park,USA,,NAR
ArnoldClassicSouthAmerica2018,757,791,Pedro Roque,Brazil,,SAR
SetifSpringOpen2018,673,1040,Yassine Bettahar,Algeria,AfR,
SantaFeAutumnV22018,585,818,Bautista Bonazzola,Argentina,SAR,
CubeforCambodia2018,422,626,Feliks Zemdegs,Australia,WR,
ABCD2018,489,595,Max Park,USA,,NAR
SchwandorfOpen2018,619,656,Philipp Weyer,Germany,,ER
UkrainianOpen2018,708,786,Nikita Kovalchuk (Нікіта Ковальчук),Ukraine,,NR
