,competitionId,eventId,roundTypeId,pos,best,average,personName,personId,personCountryId,formatId,value1,value2,value3,value4,value5,regionalSingleRecord,regionalAverageRecord
1730583,SnoCoSummer2018,666,d,1,8114,8642,Feliks Zemdegs,2009ZEMD01,Australia,m,9086,8114,8727,0,0,,OcR
1730584,SnoCoSummer2018,666,f,1,7995,8392,Feliks Zemdegs,2009ZEMD01,Australia,m,8432,8748,7995,0,0,OcR,OcR
1730585,SnoCoSummer2018,333bf,1,2,5062,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,5062,-1,0,0,,
1730586,SnoCoSummer2018,333bf,f,2,6495,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,6495,0,0,,
1730587,SnoCoSummer2018,minx,c,1,3497,3996,Feliks Zemdegs,2009ZEMD01,Australia,a,4166,4049,4133,3806,3497,,
1730588,SnoCoSummer2018,pyram,1,3,421,491,Feliks Zemdegs,2009ZEMD01,Australia,a,606,505,421,465,503,,
1730589,SnoCoSummer2018,pyram,f,8,435,607,Feliks Zemdegs,2009ZEMD01,Australia,a,435,594,-1,609,617,,
1749083,CubingUSANationals2018,333bf,1,13,4648,5345,Feliks Zemdegs,2009ZEMD01,Australia,3,5908,5478,4648,0,0,,
1749084,CubingUSANationals2018,333bf,f,15,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
1749085,CubingUSANationals2018,444bf,f,9,33943,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,33943,0,0,,
1749086,CubingUSANationals2018,555bf,f,10,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-1,0,0,,
1749087,CubingUSANationals2018,222,1,37,149,285,Feliks Zemdegs,2009ZEMD01,Australia,a,295,149,211,423,350,,
1749088,CubingUSANationals2018,222,2,43,245,314,Feliks Zemdegs,2009ZEMD01,Australia,a,245,-1,283,311,349,,
1749089,CubingUSANationals2018,222,3,9,181,209,Feliks Zemdegs,2009ZEMD01,Australia,a,199,229,259,199,181,,
1749090,CubingUSANationals2018,222,f,8,151,267,Feliks Zemdegs,2009ZEMD01,Australia,a,266,201,151,335,473,,
1749091,CubingUSANationals2018,777,1,2,12847,13185,Feliks Zemdegs,2009ZEMD01,Australia,m,12847,13597,13111,0,0,,
1749092,CubingUSANationals2018,777,f,3,12776,13290,Feliks Zemdegs,2009ZEMD01,Australia,m,13916,12776,13177,0,0,,
1749093,CubingUSANationals2018,minx,1,2,3311,4105,Feliks Zemdegs,2009ZEMD01,Australia,a,4313,4519,3587,3311,4415,OcR,
1749094,CubingUSANationals2018,minx,f,3,4006,4414,Feliks Zemdegs,2009ZEMD01,Australia,a,4337,4203,4006,4703,4866,,
1749095,CubingUSANationals2018,555,1,2,4409,4731,Feliks Zemdegs,2009ZEMD01,Australia,a,4992,4802,4493,4409,4899,,
1749096,CubingUSANationals2018,555,2,1,4382,4763,Feliks Zemdegs,2009ZEMD01,Australia,a,4406,4880,5004,4382,5276,,
1749097,CubingUSANationals2018,555,f,2,4192,4556,Feliks Zemdegs,2009ZEMD01,Australia,a,4197,4192,4819,4857,4652,,
1749098,CubingUSANationals2018,444,1,3,2159,2656,Feliks Zemdegs,2009ZEMD01,Australia,a,2159,2987,2609,3474,2371,,
1749099,CubingUSANationals2018,444,2,2,2420,2542,Feliks Zemdegs,2009ZEMD01,Australia,a,2420,2523,2573,2531,2922,,
1749100,CubingUSANationals2018,444,f,3,2183,2523,Feliks Zemdegs,2009ZEMD01,Australia,a,2183,2727,2415,2426,3359,,
1749101,CubingUSANationals2018,sq1,1,29,1126,1258,Feliks Zemdegs,2009ZEMD01,Australia,a,1126,1320,1410,1230,1224,,
1749102,CubingUSANationals2018,sq1,2,56,1247,1830,Feliks Zemdegs,2009ZEMD01,Australia,a,2416,1247,2287,1694,1508,,
1749103,CubingUSANationals2018,333oh,1,3,1019,1171,Feliks Zemdegs,2009ZEMD01,Australia,a,1072,1528,1019,1141,1300,,
1749104,CubingUSANationals2018,333oh,2,2,1007,1118,Feliks Zemdegs,2009ZEMD01,Australia,a,1441,1164,1147,1044,1007,,
1752074,CubingUSANationals2018,333oh,f,4,1014,1238,Feliks Zemdegs,2009ZEMD01,Australia,a,1267,1245,1014,1203,1295,,
1752075,CubingUSANationals2018,333,1,5,616,740,Feliks Zemdegs,2009ZEMD01,Australia,a,767,717,616,737,961,,
1752076,CubingUSANationals2018,333,2,2,544,654,Feliks Zemdegs,2009ZEMD01,Australia,a,702,544,591,671,699,,
1752077,CubingUSANationals2018,333,3,1,602,634,Feliks Zemdegs,2009ZEMD01,Australia,a,626,665,803,610,602,,
1752078,CubingUSANationals2018,333,f,1,546,628,Feliks Zemdegs,2009ZEMD01,Australia,a,608,653,546,622,681,,
1752079,CubingUSANationals2018,666,1,2,8574,9046,Feliks Zemdegs,2009ZEMD01,Australia,m,9044,9520,8574,0,0,,
1752080,CubingUSANationals2018,666,f,2,8416,8754,Feliks Zemdegs,2009ZEMD01,Australia,m,8838,8416,9009,0,0,,
1774761,AsianChampionship2018,333,1,3,508,666,Feliks Zemdegs,2009ZEMD01,Australia,a,789,715,642,508,640,,
1774762,AsianChampionship2018,333,2,2,598,697,Feliks Zemdegs,2009ZEMD01,Australia,a,789,708,737,598,645,,
1774763,AsianChampionship2018,333,3,2,558,631,Feliks Zemdegs,2009ZEMD01,Australia,a,558,604,618,695,671,,
1774764,AsianChampionship2018,333,f,5,613,739,Feliks Zemdegs,2009ZEMD01,Australia,a,907,613,705,777,736,,
1774765,AsianChampionship2018,666,1,2,8330,8871,Feliks Zemdegs,2009ZEMD01,Australia,m,8330,9552,8732,0,0,,
1774766,AsianChampionship2018,666,f,2,8954,9111,Feliks Zemdegs,2009ZEMD01,Australia,m,8954,9348,9030,0,0,,
1774767,AsianChampionship2018,333oh,1,2,976,1155,Feliks Zemdegs,2009ZEMD01,Australia,a,1194,976,1239,1375,1032,,
1774768,AsianChampionship2018,333oh,f,3,1113,1249,Feliks Zemdegs,2009ZEMD01,Australia,a,1278,1113,1249,1281,1221,,
1774769,AsianChampionship2018,222,1,11,98,271,Feliks Zemdegs,2009ZEMD01,Australia,a,510,321,98,315,176,,
1774770,AsianChampionship2018,222,2,4,127,190,Feliks Zemdegs,2009ZEMD01,Australia,a,136,210,225,245,127,,
1774771,AsianChampionship2018,222,f,5,154,211,Feliks Zemdegs,2009ZEMD01,Australia,a,154,226,464,211,195,,
1774772,AsianChampionship2018,444,1,2,2031,2456,Feliks Zemdegs,2009ZEMD01,Australia,a,2436,2681,2453,2031,2480,,
1774773,AsianChampionship2018,444,2,2,2215,2414,Feliks Zemdegs,2009ZEMD01,Australia,a,2470,2690,2347,2424,2215,,
1774774,AsianChampionship2018,444,f,4,2352,2693,Feliks Zemdegs,2009ZEMD01,Australia,a,2921,2372,2352,3074,2785,,
1774775,AsianChampionship2018,555,1,2,4177,4554,Feliks Zemdegs,2009ZEMD01,Australia,a,4893,4177,4727,4561,4374,,
1774776,AsianChampionship2018,555,2,2,3921,4476,Feliks Zemdegs,2009ZEMD01,Australia,a,4737,3921,4340,4490,4599,,
1774777,AsianChampionship2018,555,f,3,4194,4687,Feliks Zemdegs,2009ZEMD01,Australia,a,4599,4490,4194,5159,4971,,
1774778,AsianChampionship2018,777,1,1,12349,12595,Feliks Zemdegs,2009ZEMD01,Australia,m,12686,12349,12750,0,0,,
1774779,AsianChampionship2018,777,f,1,11454,12231,Feliks Zemdegs,2009ZEMD01,Australia,m,13075,11454,12164,0,0,OcR,OcR
1774780,AsianChampionship2018,minx,1,1,3942,4374,Feliks Zemdegs,2009ZEMD01,Australia,a,4508,3942,4437,4502,4183,,
1774781,AsianChampionship2018,minx,f,1,3467,4262,Feliks Zemdegs,2009ZEMD01,Australia,a,5350,4056,4450,4280,3467,,
1785807,HorshamWinter2018,333bf,f,2,4607,5079,Feliks Zemdegs,2009ZEMD01,Australia,3,4607,4967,5664,0,0,,
1785808,HorshamWinter2018,555,c,1,4108,4489,Feliks Zemdegs,2009ZEMD01,Australia,a,4630,4537,4480,4450,4108,,
1785809,HorshamWinter2018,333,1,1,566,621,Feliks Zemdegs,2009ZEMD01,Australia,a,655,664,566,629,579,,
1785810,HorshamWinter2018,333,2,1,583,633,Feliks Zemdegs,2009ZEMD01,Australia,a,583,623,619,696,658,,
1785811,HorshamWinter2018,333,f,1,555,650,Feliks Zemdegs,2009ZEMD01,Australia,a,610,779,560,555,797,,
1785812,HorshamWinter2018,222,1,3,163,242,Feliks Zemdegs,2009ZEMD01,Australia,a,248,163,307,311,170,,
1785813,HorshamWinter2018,222,f,1,167,192,Feliks Zemdegs,2009ZEMD01,Australia,a,170,404,167,185,220,,
1785814,HorshamWinter2018,333oh,d,1,966,1143,Feliks Zemdegs,2009ZEMD01,Australia,a,1096,1235,1269,966,1099,,
1785815,HorshamWinter2018,333oh,f,1,744,1023,Feliks Zemdegs,2009ZEMD01,Australia,a,997,1242,830,744,1248,,
1785816,HorshamWinter2018,444,c,1,2303,2687,Feliks Zemdegs,2009ZEMD01,Australia,a,2660,2707,2303,3285,2695,,
1847085,AustralianNationals2018,pyram,d,21,308,687,Feliks Zemdegs,2009ZEMD01,Australia,a,673,308,1032,694,693,,
1847086,AustralianNationals2018,pyram,2,14,452,570,Feliks Zemdegs,2009ZEMD01,Australia,a,452,930,546,587,578,,
1847087,AustralianNationals2018,minx,c,1,3596,4119,Feliks Zemdegs,2009ZEMD01,Australia,a,4254,4054,4050,4435,3596,,
1847088,AustralianNationals2018,sq1,d,10,1511,1640,Feliks Zemdegs,2009ZEMD01,Australia,a,1529,1712,1678,1511,2113,,
1847089,AustralianNationals2018,sq1,f,10,1061,1477,Feliks Zemdegs,2009ZEMD01,Australia,a,1061,1953,1454,1620,1357,,
1847090,AustralianNationals2018,555bf,f,1,-1,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,-2,0,0,,
1847091,AustralianNationals2018,444,d,1,2489,2718,Feliks Zemdegs,2009ZEMD01,Australia,a,2778,2795,2752,2489,2623,,
1847092,AustralianNationals2018,444,2,1,2497,2575,Feliks Zemdegs,2009ZEMD01,Australia,a,2634,2550,2918,2542,2497,,
1847093,AustralianNationals2018,444,f,1,2333,2543,Feliks Zemdegs,2009ZEMD01,Australia,a,2772,2475,2333,2848,2383,,
1847094,AustralianNationals2018,777,d,1,12702,14208,Feliks Zemdegs,2009ZEMD01,Australia,m,12702,13316,16605,0,0,,
1847095,AustralianNationals2018,777,f,1,11362,12063,Feliks Zemdegs,2009ZEMD01,Australia,m,11818,13009,11362,0,0,OcR,OcR
1847096,AustralianNationals2018,333oh,d,1,877,1140,Feliks Zemdegs,2009ZEMD01,Australia,a,1353,877,1407,1051,1017,,
1847097,AustralianNationals2018,333oh,2,1,969,1163,Feliks Zemdegs,2009ZEMD01,Australia,a,1051,1439,1330,1108,969,,
1847098,AustralianNationals2018,333oh,f,1,876,1016,Feliks Zemdegs,2009ZEMD01,Australia,a,989,1043,1187,1015,876,,
1847099,AustralianNationals2018,333fm,f,2,33,0,Feliks Zemdegs,2009ZEMD01,Australia,1,33,0,0,0,0,,
1847100,AustralianNationals2018,333bf,1,3,3939,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,3939,-1,-1,0,0,,
1847101,AustralianNationals2018,333bf,f,7,5616,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,5616,-1,-1,0,0,,
1847102,AustralianNationals2018,666,d,1,7865,8313,Feliks Zemdegs,2009ZEMD01,Australia,m,8331,8743,7865,0,0,OcR,OcR
1847103,AustralianNationals2018,666,f,1,8091,8571,Feliks Zemdegs,2009ZEMD01,Australia,m,8091,8654,8968,0,0,,
1847104,AustralianNationals2018,444bf,f,2,56061,-1,Feliks Zemdegs,2009ZEMD01,Australia,3,-1,-1,56061,0,0,,
1847105,AustralianNationals2018,222,1,22,124,387,Feliks Zemdegs,2009ZEMD01,Australia,a,124,378,418,-1,364,,
1847106,AustralianNationals2018,222,2,2,90,228,Feliks Zemdegs,2009ZEMD01,Australia,a,200,90,532,189,296,,
1847107,AustralianNationals2018,222,f,3,184,232,Feliks Zemdegs,2009ZEMD01,Australia,a,189,416,237,269,184,,
1847108,AustralianNationals2018,333,1,1,628,694,Feliks Zemdegs,2009ZEMD01,Australia,a,729,628,711,717,653,,
1847109,AustralianNationals2018,333,2,1,582,625,Feliks Zemdegs,2009ZEMD01,Australia,a,641,605,629,831,582,,
1847110,AustralianNationals2018,333,3,1,575,656,Feliks Zemdegs,2009ZEMD01,Australia,a,749,612,607,575,913,,
1847111,AustralianNationals2018,333,f,1,547,634,Feliks Zemdegs,2009ZEMD01,Australia,a,687,664,614,625,547,,
1847112,AustralianNationals2018,555,d,1,4186,4578,Feliks Zemdegs,2009ZEMD01,Australia,a,4685,4685,4365,4843,4186,,
1847113,AustralianNationals2018,555,f,1,4276,4733,Feliks Zemdegs,2009ZEMD01,Australia,a,4655,4425,-1,5119,4276,,
1870849,SKCSpring2018,pyram,1,10,576,707,Feliks Zemdegs,2009ZEMD01,Australia,a,671,759,690,1093,576,,
